Trajectories
100
,,Patient 1:MDG,,,Patient 1:MAG,,,Patient 1:EAG,,,Patient 1:EDG,,,Patient 1:ED,,,Patient 1:EAD,,,Patient 1:MDD,,,Patient 1:MAD,,,Patient 1:FRD,,,Patient 1:FRG,,,Patient 1:FD,,,Patient 1:FAD,,,Patient 1:FAG,,,Patient 1:T,,,Patient 1:DH,,,Patient 1:F,,,Patient 1:DB,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
549,0,-593.345,-360.264,766.3,-535.03,-278.732,758.864,,,,,,,89.0783,-793.608,1125.36,119.206,-714.676,1112.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-102.322,-807.318,818.67
550,0,-593.407,-360.297,766.424,-535.068,-278.666,759.131,,,,,,,88.9836,-793.618,1125.21,119.209,-714.709,1112.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-102.272,-807.222,818.589
551,0,-593.48,-360.352,766.481,-535.215,-278.635,759.306,,,,,,,89.0606,-793.591,1125.3,119.197,-714.678,1112.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-102.378,-807.317,818.611
552,0,-592.442,-359.529,765.842,-536.589,-278.031,759.918,,,,,,,89.0055,-793.682,1125.26,119.19,-714.675,1112.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-102.603,-807.488,818.664
553,0,-593.125,-360.028,766.215,-537.568,-277.783,760.063,,,,,,,88.9612,-793.662,1125.24,119.187,-714.675,1112.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-102.315,-807.227,818.633
554,0,-593.679,-360.405,766.614,-538.464,-277.443,760.388,,,,,,,89.0194,-793.776,1125.23,119.203,-714.673,1112.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-102.238,-807.208,818.581
555,0,-593.765,-360.454,766.659,-539.256,-277.188,760.9,,,,,,,89.0432,-793.752,1125.24,119.254,-714.653,1112.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-102.214,-807.195,818.555
556,0,-593.625,-360.295,766.608,-539.456,-277.05,760.844,,,,,,,88.886,-793.605,1125.18,119.132,-714.739,1112.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-102.278,-807.231,818.595
557,0,-593.66,-360.313,766.715,-539.551,-277.05,760.997,,,,,,,88.9282,-793.582,1125.14,119.176,-714.681,1112.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-102.206,-807.171,818.58
558,0,-593.713,-360.298,766.803,-539.9,-276.794,761.211,,,,,,,88.9072,-793.625,1125.17,119.213,-714.611,1112.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-102.208,-807.173,818.584
559,0,-593.721,-360.301,766.808,-540.289,-276.817,761.357,,,,,,,89.0164,-793.505,1125.22,119.259,-714.619,1112.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-102.11,-807.137,818.508
560,0,-593.611,-360.218,766.745,-540.398,-276.726,761.385,,,,,,,89.1609,-793.633,1125.3,119.215,-714.611,1112.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-102.234,-807.211,818.58
561,0,-593.5,-360.109,766.657,-540.325,-276.71,761.399,,,,,,,89.0984,-793.71,1125.23,119.217,-714.61,1112.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-102.211,-807.174,818.582
562,0,-593.683,-360.172,766.783,-539.107,-276.959,760.723,,,,,,,89.0384,-793.527,1125.3,119.175,-714.573,1112.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-102.219,-807.196,818.559
563,0,-593.697,-360.188,766.738,-539.454,-276.826,761.4,,,,,,,89.0389,-793.517,1125.3,119.189,-714.511,1112.8,,,,,,,,,,,,,,,,,,,,,,-44.9911,-602.531,1408.75,,,,,,,-102.031,-807.052,818.497
564,0,-593.767,-360.233,766.86,-540.214,-276.653,761.594,,,,,,,89.1217,-793.44,1125.31,119.243,-714.548,1112.79,,,,,,,,,,,,,,,,,,,,,,-44.9205,-602.49,1408.73,,,,,,,-102.019,-807.051,818.508
565,0,-593.779,-360.28,766.828,-540.743,-276.645,761.619,,,,,,,89.0598,-793.504,1125.3,119.291,-714.523,1112.83,,,,,,,,,,,,,,,,,,,,,,-44.9568,-602.524,1408.74,,,,,,,-102.222,-807.238,818.513
566,0,-593.734,-360.235,766.795,-540.565,-276.579,761.52,,,,,,,89.122,-793.491,1125.35,119.25,-714.548,1112.76,,,,,,,,,,,,,,,,,,,,,,-45.1864,-602.839,1408.5,,,,,,,-102.272,-807.208,818.615
567,0,-593.732,-360.194,766.839,-540.365,-276.663,761.589,,,,,,,89.1301,-793.424,1125.33,119.109,-714.414,1112.71,,,,,,,,,,,,,,,,,,,,,,-44.9217,-602.487,1408.71,,,,,,,-102.444,-807.351,818.659
568,0,-593.739,-360.197,766.845,-540.15,-276.64,761.49,,,,,,,89.0922,-793.415,1125.33,119.084,-714.405,1112.74,,,,,,,,,,,,,,,,,,,,,,-44.8878,-602.478,1408.79,,,,,,,-102.694,-807.534,818.711
569,0,-593.777,-360.239,766.869,-540.108,-276.703,761.517,,,,,,,89.1505,-793.443,1125.35,119.141,-714.445,1112.74,,,,,,,,,,,,,,,,,,,,,,-44.813,-602.372,1408.61,,,,,,,-102.419,-807.297,818.65
570,0,-593.862,-360.306,766.923,-540.028,-276.737,761.448,,,,,,,89.1568,-793.34,1125.32,119.177,-714.389,1112.68,,,,,,,,,,,,,,,,,,,,,,-44.6483,-602.274,1408.54,,,,,,,-102.145,-807.135,818.545
571,0,-593.695,-360.251,766.88,-539.992,-276.743,761.434,,,,,,,89.188,-793.378,1125.34,119.176,-714.385,1112.68,,,,,,,,,,,,,,,,,,,,,,-44.7051,-602.311,1408.57,,,,,,,-102.136,-807.156,818.519
572,0,-593.789,-360.243,766.88,-540,-276.721,761.396,,,,,,,89.3048,-793.41,1125.35,119.228,-714.362,1112.68,,,,,,,,,,,,,,,,,,,,,,-44.9755,-602.387,1408.72,,,,,,,-102.321,-807.344,818.504
573,0,-593.722,-360.181,766.841,-539.807,-276.66,761.097,,,,,,,89.3157,-793.32,1125.39,119.238,-714.353,1112.65,,,,,,,,,,,,,,,,,,,,,,-44.9491,-602.385,1408.68,,,,,,,-102.606,-807.493,818.66
