Trajectories
100
,,Patient 1:MDG,,,Patient 1:MAG,,,Patient 1:EAG,,,Patient 1:EDG,,,Patient 1:ED,,,Patient 1:EAD,,,Patient 1:MDD,,,Patient 1:MAD,,,Patient 1:FRD,,,Patient 1:FRG,,,Patient 1:FD,,,Patient 1:FAD,,,Patient 1:FAG,,,Patient 1:T,,,Patient 1:DH,,,Patient 1:F,,,Patient 1:DB,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
489,0,-1561.17,-30.7249,779.072,-1469.03,-36.827,791.312,-1544.17,-440.718,1047.18,-1616.12,-459.562,1064.72,-1531.92,-820.01,1054.93,,,,,,,-1413.88,-1254.84,801.077,,,,,,,,,,,,,,,,-1436.44,-607.614,1351.6,-1673.95,-642.328,826.366,,,,,,
490,0,-1560.93,-30.7241,779.047,-1468.8,-36.8154,791.311,-1544.28,-440.78,1047.31,-1616.14,-459.495,1064.69,-1531.99,-819.958,1055.01,,,,,,,-1413.83,-1254.77,801.206,,,,,,,,,,,,,,,,-1436.54,-607.547,1351.61,-1673.87,-642.218,826.269,,,,,,
491,0,-1560.84,-30.6237,779.082,-1468.51,-36.7854,791.304,-1544.3,-440.719,1047.29,-1616.12,-459.448,1064.72,-1531.97,-819.829,1055.03,,,,,,,-1413.77,-1254.63,801.267,,,,,,,,,,,,,,,,-1436.62,-607.445,1351.61,-1673.79,-642.156,826.292,,,,,,
492,0,-1560.81,-30.667,779.207,-1468.29,-36.76,791.358,-1544.28,-440.691,1047.26,-1616.15,-459.361,1064.73,-1531.99,-819.759,1055.16,,,,,,,-1413.69,-1254.57,801.325,,,,,,,,,,,,,,,,-1436.72,-607.386,1351.63,-1673.94,-642.194,826.348,,,,,,
493,0,-1560.73,-30.631,779.194,-1468.14,-36.7635,791.371,-1544.19,-440.537,1047.19,-1616.13,-459.332,1064.71,-1532.07,-819.71,1055.27,,,,,,,-1413.61,-1254.49,801.373,,,,,,,,,,,,,,,,-1436.82,-607.314,1351.65,-1673.96,-642.182,826.41,,,,,,
494,0,-1560.62,-30.6705,779.307,-1468.05,-36.713,791.362,-1544.15,-440.476,1047.16,-1616.1,-459.25,1064.72,-1532.07,-819.684,1055.31,,,,,,,-1413.56,-1254.4,801.396,,,,,,,,,,,,,,,,-1436.85,-607.243,1351.66,-1673.87,-642.062,826.301,,,,,,
495,0,-1560.51,-30.5909,779.305,-1467.9,-36.7138,791.372,-1544,-440.289,1047.02,-1616.14,-459.23,1064.71,-1532.07,-819.682,1055.32,,,,,,,-1413.57,-1254.34,801.487,,,,,,,,,,,,,,,,-1436.93,-607.181,1351.65,-1673.87,-642.033,826.352,,,,,,
496,0,-1560.33,-30.5389,779.348,-1467.81,-36.7142,791.398,-1543.99,-440.229,1047.03,-1616.07,-459.099,1064.7,-1532.13,-819.648,1055.38,,,,,,,-1413.52,-1254.25,801.519,,,,,,,,,,,,,,,,-1436.97,-607.086,1351.7,-1673.93,-642.102,826.428,,,,,,
497,0,-1560.18,-30.4013,779.288,-1467.68,-36.5911,791.419,-1543.96,-440.168,1047,-1616.09,-459.121,1064.72,-1532.1,-819.581,1055.41,,,,,,,-1413.48,-1254.12,801.594,,,,,,,,,,,,,,,,-1436.98,-607.022,1351.67,-1673.92,-642.049,826.465,,,,,,
498,0,-1560.02,-30.3569,779.361,-1467.68,-36.543,791.454,-1543.91,-440.099,1046.97,-1616.06,-459.064,1064.69,-1532.16,-819.549,1055.45,,,,,,,-1413.42,-1254.01,801.746,,,,,,,,,,,,,,,,-1436.99,-606.916,1351.68,-1673.83,-641.969,826.458,,,,,,
499,0,-1559.84,-30.1596,779.305,-1467.58,-36.4454,791.462,-1543.85,-440.019,1046.95,-1616.05,-459.03,1064.73,-1532.13,-819.503,1055.43,,,,,,,-1413.37,-1253.85,801.863,,,,,,,,,,,,,,,,-1437.07,-606.829,1351.68,-1673.8,-641.925,826.44,,,,,,
500,0,-1559.78,-30.0383,779.326,-1467.46,-36.2656,791.46,-1544,-440.136,1047.13,-1615.93,-458.813,1064.62,-1532.12,-819.456,1055.48,,,,,,,-1413.35,-1253.74,801.959,,,,,,,,,,,,,,,,-1437.05,-606.678,1351.66,-1673.91,-642.073,826.74,,,,,,
501,0,-1559.67,-29.9653,779.386,-1467.37,-36.1471,791.511,-1544.02,-440.147,1047.12,-1615.89,-458.72,1064.62,-1532.1,-819.322,1055.45,,,,,,,-1413.27,-1253.68,802.016,,,,,,,,,,,,,,,,-1437.01,-606.547,1351.58,-1673.68,-641.874,826.546,,,,,,
502,0,-1559.54,-29.8122,779.391,-1467.31,-35.971,791.535,-1543.85,-439.968,1046.99,-1615.88,-458.588,1064.55,-1532.13,-819.219,1055.51,,,,,,,,,,,,,,,,,,,,,,,,,-1437.04,-606.465,1351.59,-1674,-642.251,827.086,,,,,,
503,0,-1559.45,-29.6559,779.404,-1467.29,-35.9254,791.593,-1543.88,-439.937,1046.97,-1615.84,-458.52,1064.52,-1532.16,-819.132,1055.51,,,,,,,-1413.16,-1253.52,802.115,,,,,,,,,,,,,,,,-1437.09,-606.409,1351.6,-1673.7,-641.945,826.864,,,,,,
504,0,-1559.4,-29.6025,779.483,-1467.26,-35.816,791.588,-1543.93,-439.957,1047,-1615.88,-458.431,1064.53,-1532.13,-819.041,1055.57,,,,,,,-1413.16,-1253.49,802.151,,,,,,,,,,,,,,,,-1436.97,-606.125,1351.53,-1673.6,-641.876,826.867,,,,,,
505,0,-1559.36,-29.5006,779.533,-1467.22,-35.7224,791.623,-1543.89,-439.869,1046.93,-1615.84,-458.368,1064.5,-1532.15,-818.96,1055.58,,,,,,,,,,,,,,,,,,,,,,,,,-1436.53,-605.403,1350.91,-1673.48,-641.762,826.826,,,,,,
